restock_id,site_id,item_id,date,qty,restock_type
RST-00251,Central_01,ITM-01,2025-01-01,969,scheduled
RST-00252,Central_01,ITM-01,2025-02-24,1058,scheduled
RST-00253,Central_01,ITM-01,2025-04-20,1045,scheduled
RST-00254,Central_01,ITM-01,2025-06-17,993,scheduled
RST-00255,Central_01,ITM-01,2025-08-14,1065,scheduled
RST-00256,Central_01,ITM-01,2025-10-07,954,scheduled
RST-00257,Central_01,ITM-01,2025-12-04,1062,scheduled
RST-00258,Central_01,ITM-02,2025-01-06,102,scheduled
RST-00259,Central_01,ITM-02,2025-03-05,101,scheduled
RST-00260,Central_01,ITM-02,2025-04-27,109,scheduled
RST-00261,Central_01,ITM-02,2025-06-19,110,scheduled
RST-00262,Central_01,ITM-02,2025-08-12,106,scheduled
RST-00263,Central_01,ITM-02,2025-10-04,105,scheduled
RST-00264,Central_01,ITM-02,2025-12-01,114,scheduled
RST-00265,Central_01,ITM-03,2025-01-02,1679,scheduled
RST-00266,Central_01,ITM-03,2025-02-24,1848,scheduled
RST-00267,Central_01,ITM-03,2025-04-23,1694,scheduled
RST-00268,Central_01,ITM-03,2025-06-17,1791,scheduled
RST-00269,Central_01,ITM-03,2025-08-09,1692,scheduled
RST-00270,Central_01,ITM-03,2025-09-30,1830,scheduled
RST-00271,Central_01,ITM-03,2025-11-25,1770,scheduled
RST-00272,Central_01,ITM-04,2025-01-08,443,scheduled
RST-00273,Central_01,ITM-04,2025-03-05,482,scheduled
RST-00274,Central_01,ITM-04,2025-04-30,473,scheduled
RST-00275,Central_01,ITM-04,2025-06-22,453,scheduled
RST-00276,Central_01,ITM-04,2025-08-18,451,scheduled
RST-00277,Central_01,ITM-04,2025-10-11,439,scheduled
RST-00278,Central_01,ITM-04,2025-12-07,446,scheduled
RST-00279,Central_01,ITM-05,2025-01-10,481,scheduled
RST-00280,Central_01,ITM-05,2025-03-07,451,scheduled
RST-00281,Central_01,ITM-05,2025-04-28,491,scheduled
RST-00282,Central_01,ITM-05,2025-06-21,432,scheduled
RST-00283,Central_01,ITM-05,2025-08-14,466,scheduled
RST-00284,Central_01,ITM-05,2025-10-06,434,scheduled
RST-00285,Central_01,ITM-05,2025-11-30,465,scheduled
RST-00286,Central_01,ITM-06,2025-01-06,489,scheduled
RST-00287,Central_01,ITM-06,2025-02-28,457,scheduled
RST-00288,Central_01,ITM-06,2025-04-21,447,scheduled
RST-00289,Central_01,ITM-06,2025-06-12,469,scheduled
RST-00290,Central_01,ITM-06,2025-08-04,443,scheduled
RST-00291,Central_01,ITM-06,2025-09-29,447,scheduled
RST-00292,Central_01,ITM-06,2025-11-26,482,scheduled
RST-00293,Central_01,ITM-07,2025-01-10,468,scheduled
RST-00294,Central_01,ITM-07,2025-03-03,441,scheduled
RST-00295,Central_01,ITM-07,2025-04-27,469,scheduled
RST-00296,Central_01,ITM-07,2025-06-20,454,scheduled
RST-00297,Central_01,ITM-07,2025-08-11,459,scheduled
RST-00298,Central_01,ITM-07,2025-10-05,492,scheduled
RST-00299,Central_01,ITM-07,2025-11-26,494,scheduled
RST-00300,Central_01,ITM-08,2025-01-05,484,scheduled
RST-00301,Central_01,ITM-08,2025-03-02,495,scheduled
RST-00302,Central_01,ITM-08,2025-04-27,468,scheduled
RST-00303,Central_01,ITM-08,2025-06-22,436,scheduled
RST-00304,Central_01,ITM-08,2025-08-16,480,scheduled
RST-00305,Central_01,ITM-08,2025-10-07,463,scheduled
RST-00306,Central_01,ITM-08,2025-11-30,441,scheduled
RST-00307,Central_01,ITM-09,2025-01-09,431,scheduled
RST-00308,Central_01,ITM-09,2025-03-07,485,scheduled
RST-00309,Central_01,ITM-09,2025-05-03,441,scheduled
RST-00310,Central_01,ITM-09,2025-06-29,454,scheduled
RST-00311,Central_01,ITM-09,2025-08-22,485,scheduled
RST-00312,Central_01,ITM-09,2025-10-16,448,scheduled
RST-00313,Central_01,ITM-09,2025-12-07,436,scheduled
RST-00314,Central_01,ITM-10,2025-01-02,136,scheduled
RST-00315,Central_01,ITM-10,2025-03-01,139,scheduled
RST-00316,Central_01,ITM-10,2025-04-25,131,scheduled
RST-00317,Central_01,ITM-10,2025-06-21,133,scheduled
RST-00318,Central_01,ITM-10,2025-08-17,133,scheduled
RST-00319,Central_01,ITM-10,2025-10-10,147,scheduled
RST-00320,Central_01,ITM-10,2025-12-06,147,scheduled
RST-00321,East_01,ITM-01,2025-01-08,965,scheduled
RST-00322,East_01,ITM-01,2025-03-11,1002,scheduled
RST-00323,East_01,ITM-01,2025-05-12,934,scheduled
RST-00324,East_01,ITM-01,2025-07-14,996,scheduled
