client_id,site_id,client_size,base_headcount,weekend_pattern,is_24x7
CLIENT-001,North_01,medium,80,closed_sun_only,False
CLIENT-002,North_01,large,93,closed_sat_sun,False
CLIENT-003,North_01,medium,76,closed_sun_only,False
CLIENT-004,North_01,small,27,closed_sat_sun,False
CLIENT-005,North_01,medium,86,closed_sat_sun,False
CLIENT-006,North_01,large,97,closed_sat_sun,False
CLIENT-007,North_02,medium,85,closed_sat_sun,False
CLIENT-008,North_02,medium,67,closed_sat_sun,False
CLIENT-009,North_02,small,20,closed_sun_only,False
CLIENT-010,North_02,large,115,closed_sun_only,False
CLIENT-011,North_02,medium,70,24x7,True
CLIENT-012,North_02,medium,87,closed_sun_only,False
CLIENT-013,North_02,small,22,closed_sat_sun,False
CLIENT-014,South_01,large,112,closed_sat_sun,False
CLIENT-015,South_01,large,127,24x7,True
CLIENT-016,South_01,medium,72,closed_sat_sun,False
CLIENT-017,South_01,large,93,closed_sat_sun,False
CLIENT-018,South_01,large,108,closed_sat_sun,False
CLIENT-019,South_01,large,103,closed_sat_sun,False
CLIENT-020,Central_01,small,24,closed_sun_only,False
CLIENT-021,Central_01,medium,81,closed_sat_sun,False
CLIENT-022,Central_01,small,29,closed_sun_only,False
CLIENT-023,Central_01,small,24,closed_sat_sun,False
CLIENT-024,Central_01,large,117,closed_sat_sun,False
CLIENT-025,Central_01,small,22,closed_sat_sun,False
CLIENT-026,East_01,small,28,closed_sun_only,False
CLIENT-027,East_01,small,23,closed_sat_sun,False
CLIENT-028,East_01,small,25,closed_sat_sun,False
CLIENT-029,East_01,small,22,closed_sat_sun,False
CLIENT-030,East_01,large,116,closed_sat_sun,False
CLIENT-031,East_01,small,20,closed_sat_sun,False
CLIENT-032,East_01,small,26,closed_sat_sun,False
