date,site_id,client_id,item_id,day_type,effective_headcount,shift,qty_drawn
2025-06-04,Central_01,CLIENT-021,ITM-09,Weekday,75,A,1.0
2025-09-30,Central_01,CLIENT-021,ITM-10,Weekday,75,A,1.0
2025-12-04,East_01,CLIENT-027,ITM-04,Weekday,38,A,1.0
2025-10-08,North_02,CLIENT-008,ITM-01,Weekday,74,A,4.0
2025-05-26,South_01,CLIENT-016,ITM-09,Weekday,79,A,1.0
2025-09-17,South_01,CLIENT-014,ITM-03,Weekday,122,A,9.0
2025-05-07,East_01,CLIENT-026,ITM-08,Weekday,27,A,1.0
2025-10-24,North_01,CLIENT-005,ITM-06,Weekday,83,A,1.0
2025-09-25,South_01,CLIENT-019,ITM-03,Weekday,96,A,9.0
2025-11-25,North_01,CLIENT-001,ITM-01,Weekday,74,A,4.0
2025-07-14,South_01,CLIENT-018,ITM-01,Weekday,111,A,6.0
2025-10-28,East_01,CLIENT-028,ITM-07,Weekday,42,A,1.0
2025-12-12,East_01,CLIENT-026,ITM-09,Weekday,26,A,1.0
2025-06-01,South_01,CLIENT-015,ITM-10,Weekday,129,A,1.0
2025-08-26,North_02,CLIENT-010,ITM-03,Weekday,123,A,14.0
2025-10-01,North_01,CLIENT-002,ITM-02,Weekday,126,A,1.5
2025-09-01,South_01,CLIENT-014,ITM-01,Weekday,110,A,8.0
2025-11-26,East_01,CLIENT-032,ITM-03,Weekday,32,A,3.0
2025-07-28,South_01,CLIENT-015,ITM-10,Weekday,120,A,1.0
2025-04-18,South_01,CLIENT-016,ITM-09,Weekday,77,A,1.0
2025-03-27,North_01,CLIENT-003,ITM-01,Weekday,72,A,4.0
2025-11-22,Central_01,CLIENT-020,ITM-01,Weekday,22,A,1.0
2025-09-16,South_01,CLIENT-015,ITM-01,Weekday,134,B,2.0
2025-09-13,North_02,CLIENT-010,ITM-03,Weekday,125,A,15.0
2025-12-18,North_02,CLIENT-007,ITM-09,Weekday,77,A,1.0
2025-10-06,North_01,CLIENT-002,ITM-01,Weekday,125,A,7.0
2025-03-05,North_02,CLIENT-008,ITM-10,Weekday,64,A,1.0
2025-02-25,East_01,CLIENT-028,ITM-02,Weekday,27,A,0.5
2025-10-21,North_01,CLIENT-004,ITM-09,Weekday,34,A,1.0
2025-09-16,Central_01,CLIENT-024,ITM-01,Weekday,131,B,2.0
2025-02-27,North_02,CLIENT-013,ITM-09,Weekday,21,A,1.0
2025-06-07,Central_01,CLIENT-021,ITM-03,Weekend,11,A,1.0
