site_id,item_id,opening_stock,opening_date
Central_01,ITM-01,485,2025-01-01
Central_01,ITM-02,91,2025-01-01
Central_01,ITM-03,913,2025-01-01
Central_01,ITM-04,31,2025-01-01
Central_01,ITM-05,10,2025-01-01
Central_01,ITM-06,8,2025-01-01
Central_01,ITM-07,15,2025-01-01
Central_01,ITM-08,24,2025-01-01
Central_01,ITM-09,68,2025-01-01
Central_01,ITM-10,57,2025-01-01
East_01,ITM-01,404,2025-01-01
East_01,ITM-02,72,2025-01-01
East_01,ITM-03,768,2025-01-01
East_01,ITM-04,27,2025-01-01
East_01,ITM-05,9,2025-01-01
East_01,ITM-06,7,2025-01-01
East_01,ITM-07,12,2025-01-01
East_01,ITM-08,20,2025-01-01
East_01,ITM-09,62,2025-01-01
East_01,ITM-10,28,2025-01-01
North_01,ITM-01,747,2025-01-01
North_01,ITM-02,138,2025-01-01
North_01,ITM-03,1369,2025-01-01
North_01,ITM-04,47,2025-01-01
North_01,ITM-05,16,2025-01-01
North_01,ITM-06,12,2025-01-01
North_01,ITM-07,22,2025-01-01
North_01,ITM-08,36,2025-01-01
North_01,ITM-09,89,2025-01-01
North_01,ITM-10,140,2025-01-01
North_02,ITM-01,827,2025-01-01
North_02,ITM-02,149,2025-01-01
North_02,ITM-03,1505,2025-01-01
North_02,ITM-04,52,2025-01-01
North_02,ITM-05,17,2025-01-01
North_02,ITM-06,13,2025-01-01
North_02,ITM-07,26,2025-01-01
North_02,ITM-08,40,2025-01-01
North_02,ITM-09,104,2025-01-01
North_02,ITM-10,151,2025-01-01
South_01,ITM-01,1022,2025-01-01
South_01,ITM-02,177,2025-01-01
South_01,ITM-03,1851,2025-01-01
South_01,ITM-04,60,2025-01-01
South_01,ITM-05,23,2025-01-01
South_01,ITM-06,16,2025-01-01
South_01,ITM-07,29,2025-01-01
South_01,ITM-08,47,2025-01-01
South_01,ITM-09,129,2025-01-01
South_01,ITM-10,170,2025-01-01
