restock_id,site_id,item_id,date,qty,restock_type
RST-00254,Central_01,ITM-01,2025-01-09,975.0,scheduled
RST-00255,Central_01,ITM-01,2025-03-02,1008.0,scheduled
RST-00256,Central_01,ITM-01,2025-04-28,1081.0,scheduled
RST-00257,Central_01,ITM-01,2025-06-25,1101.0,scheduled
RST-00258,Central_01,ITM-01,2025-08-20,1032.0,scheduled
RST-00259,Central_01,ITM-01,2025-10-14,1094.0,scheduled
RST-00260,Central_01,ITM-01,2025-12-11,1077.0,scheduled
RST-00261,Central_01,ITM-02,2025-01-05,113.0,scheduled
RST-00262,Central_01,ITM-02,2025-02-28,117.0,scheduled
RST-00263,Central_01,ITM-02,2025-04-25,121.0,scheduled
RST-00264,Central_01,ITM-02,2025-06-21,118.5,scheduled
RST-00265,Central_01,ITM-02,2025-08-14,111.5,scheduled
RST-00266,Central_01,ITM-02,2025-10-08,118.5,scheduled
RST-00267,Central_01,ITM-02,2025-12-05,122.0,scheduled
RST-00268,Central_01,ITM-03,2025-01-01,2005.0,scheduled
RST-00269,Central_01,ITM-03,2025-02-28,1974.0,scheduled
RST-00270,Central_01,ITM-03,2025-04-26,1935.0,scheduled
RST-00271,Central_01,ITM-03,2025-06-23,1927.0,scheduled
RST-00272,Central_01,ITM-03,2025-08-19,1985.0,scheduled
RST-00273,Central_01,ITM-03,2025-10-12,1875.0,scheduled
RST-00274,Central_01,ITM-03,2025-12-08,1887.0,scheduled
RST-00275,Central_01,ITM-04,2025-01-02,6632.0,scheduled
RST-00276,Central_01,ITM-04,2025-02-28,7046.0,scheduled
RST-00277,Central_01,ITM-04,2025-04-22,7172.0,scheduled
RST-00278,Central_01,ITM-04,2025-06-15,6995.0,scheduled
RST-00279,Central_01,ITM-04,2025-08-12,7499.0,scheduled
RST-00280,Central_01,ITM-04,2025-10-04,7322.0,scheduled
RST-00281,Central_01,ITM-04,2025-11-25,6572.0,scheduled
RST-00282,Central_01,ITM-05,2025-01-10,2289.0,scheduled
RST-00283,Central_01,ITM-05,2025-03-04,2243.0,scheduled
RST-00284,Central_01,ITM-05,2025-04-25,2387.0,scheduled
RST-00285,Central_01,ITM-05,2025-06-16,2402.0,scheduled
RST-00286,Central_01,ITM-05,2025-08-08,2331.0,scheduled
RST-00287,Central_01,ITM-05,2025-10-04,2363.0,scheduled
RST-00288,Central_01,ITM-05,2025-11-28,2189.0,scheduled
RST-00289,Central_01,ITM-06,2025-01-01,1673.0,scheduled
RST-00290,Central_01,ITM-06,2025-02-23,1746.0,scheduled
RST-00291,Central_01,ITM-06,2025-04-16,1780.0,scheduled
RST-00292,Central_01,ITM-06,2025-06-11,1786.0,scheduled
RST-00293,Central_01,ITM-06,2025-08-02,1652.0,scheduled
RST-00294,Central_01,ITM-06,2025-09-24,1600.0,scheduled
RST-00295,Central_01,ITM-06,2025-11-19,1614.0,scheduled
RST-00296,Central_01,ITM-07,2025-01-01,3283.0,scheduled
RST-00297,Central_01,ITM-07,2025-02-28,3015.0,scheduled
RST-00298,Central_01,ITM-07,2025-04-23,2985.0,scheduled
RST-00299,Central_01,ITM-07,2025-06-18,3220.0,scheduled
RST-00300,Central_01,ITM-07,2025-08-14,3127.0,scheduled
RST-00301,Central_01,ITM-07,2025-10-06,3158.0,scheduled
RST-00302,Central_01,ITM-07,2025-11-29,3376.0,scheduled
RST-00303,Central_01,ITM-08,2025-01-04,4927.0,scheduled
RST-00304,Central_01,ITM-08,2025-02-28,4926.0,scheduled
RST-00305,Central_01,ITM-08,2025-04-23,5164.0,scheduled
RST-00306,Central_01,ITM-08,2025-06-18,5105.0,scheduled
RST-00307,Central_01,ITM-08,2025-08-11,5118.0,scheduled
RST-00308,Central_01,ITM-08,2025-10-05,5481.0,scheduled
RST-00309,Central_01,ITM-08,2025-11-26,5207.0,scheduled
RST-00310,Central_01,ITM-09,2025-01-02,6579.0,scheduled
RST-00311,Central_01,ITM-09,2025-02-27,6543.0,scheduled
RST-00312,Central_01,ITM-09,2025-04-24,6800.0,scheduled
RST-00313,Central_01,ITM-09,2025-06-20,6966.0,scheduled
RST-00314,Central_01,ITM-09,2025-08-15,6810.0,scheduled
RST-00315,Central_01,ITM-09,2025-10-08,6873.0,scheduled
RST-00316,Central_01,ITM-09,2025-11-29,6286.0,scheduled
RST-00317,Central_01,ITM-10,2025-01-09,141.0,scheduled
RST-00318,Central_01,ITM-10,2025-03-04,148.0,scheduled
RST-00319,Central_01,ITM-10,2025-04-27,156.0,scheduled
RST-00320,Central_01,ITM-10,2025-06-21,145.0,scheduled
RST-00321,Central_01,ITM-10,2025-08-13,159.0,scheduled
RST-00322,Central_01,ITM-10,2025-10-10,156.0,scheduled
RST-00323,Central_01,ITM-10,2025-12-02,144.0,scheduled
RST-00324,East_01,ITM-01,2025-01-06,970.0,scheduled
